diet_id,keto-friendly,paleo_friendly,gluten_free,vegetarian,sugar_conscious,dairy_free,engine_2,low_sodium,low_fat,vegan,organic,whole_foods_diet
,1,1,1,1,1,1,0,1,1,1,1,0
,1,1,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,0,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1,1,1
,0,1,1,1,0,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,0,1,1,1
,1,1,0,1,0,1,1,1,1,1,1,1
,1,1,0,1,0,1,1,0,0,1,1,1
,0,1,1,1,0,1,1,1,1,1,1,1
,1,1,1,1,0,1,1,0,0,1,0,1
,0,1,0,1,0,1,1,0,0,1,0,1
,0,1,1,1,0,1,1,0,0,1,0,1
,1,1,1,1,1,1,1,1,0,1,0,1
,1,1,1,1,1,1,1,1,0,1,0,1
,0,1,1,1,0,1,1,1,1,1,0,1
,1,1,1,1,1,1,1,1,1,1,0,1
,0,1,1,1,0,1,1,1,1,1,1,1
,0,1,1,1,0,1,1,1,1,1,1,1
,0,1,0,1,1,1,1,1,1,1,0,1
,0,1,1,1,0,1,1,1,1,1,1,1
,0,1,1,1,0,1,1,1,1,1,0,1
,1,1,1,1,1,1,1,0,1,1,1,1
,1,1,1,1,1,1,1,0,1,1,1,1
,1,1,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1,0,1
,1,1,1,1,1,1,1,1,1,1,0,1
,0,1,1,1,0,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,0,1,1,1,1
,1,1,1,1,0,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,0,1,1,0,1
,1,1,1,1,1,1,1,1,1,1,0,1
,1,1,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1,1,1
,1,1,0,1,1,1,1,0,0,1,1,1
,1,1,1,1,1,1,1,1,1,1,1,1
,0,0,0,1,1,1,1,1,1,1,0,0
,1,1,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,0,1,1,0,1
,1,1,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,1,1,1,1,1,1,1,1
,1,1,1,1,0,1,1,1,1,1,1,1
